ts,agent_id,throttle,steer,brake
197,0,0.8999999761581421,0.034194279462099075,0.0
198,0,0.8999999761581421,0.025578541681170464,0.0
199,0,0.8999999761581421,0.028155706822872162,0.0
200,0,0.8999999761581421,0.009365380741655827,0.0
201,0,0.8999999761581421,0.012093514204025269,0.0
202,0,0.8999999761581421,0.011207272298634052,0.0
203,0,0.8999999761581421,0.012644490227103233,0.0
204,0,0.8999999761581421,0.01236889697611332,0.0
205,0,0.8999999761581421,0.013431856408715248,0.0
206,0,0.8999999761581421,0.012721632607281208,0.0
207,0,0.8999999761581421,0.013824806548655033,0.0
208,0,0.8999999761581421,0.013817519880831242,0.0
209,0,0.8999999761581421,0.013082657009363174,0.0
210,0,0.8999999761581421,0.012911288067698479,0.0
211,0,0.8999999761581421,0.012645839713513851,0.0
212,0,0.8999999761581421,0.014112362638115883,0.0
213,0,0.8999999761581421,0.014490462839603424,0.0
214,0,0.8999999761581421,0.014375521801412106,0.0
215,0,0.8999999761581421,0.01502989511936903,0.0
216,0,0.8999999761581421,0.014380740001797676,0.0
217,0,0.8999999761581421,0.01450546644628048,0.0
218,0,0.8999999761581421,0.0146548543125391,0.0
219,0,0.8999999761581421,0.01457526721060276,0.0
220,0,0.8999999761581421,0.015837302431464195,0.0
221,0,0.8999999761581421,0.016273051500320435,0.0
222,0,0.8999999761581421,0.015856178477406502,0.0
223,0,0.8999999761581421,0.016735585406422615,0.0
224,0,0.8999999761581421,0.016567472368478775,0.0
225,0,0.8999999761581421,0.017223872244358063,0.0
226,0,0.8999999761581421,0.01698872819542885,0.0
227,0,0.8999999761581421,0.01714061014354229,0.0
228,0,0.8999999761581421,0.01838347688317299,0.0
229,0,0.8999999761581421,0.01804979331791401,0.0
230,0,0.8999999761581421,0.01776634342968464,0.0
231,0,0.8999999761581421,0.018182283267378807,0.0
232,0,0.8999999761581421,0.018060673028230667,0.0
233,0,0.8999999761581421,0.019259966909885406,0.0
234,0,0.8999999761581421,0.018384408205747604,0.0
235,0,0.8999999761581421,0.019422540441155434,0.0
