ts,agent_id,cvip,cvip_x,cvip_y,cvip_z
393173,0,38.667694544041154,-113.5839614868164,-11.911121368408203,0.26785439252853394
393174,1,38.66756220512608,-113.5839614868164,-11.911121368408203,0.24489785730838776
393175,0,38.66741502301584,-113.5839614868164,-11.911121368408203,0.215823233127594
393176,1,38.66726531310547,-113.5839614868164,-11.911121368408203,0.18063203990459442
393177,0,38.66717219362441,-113.58399963378906,-11.911121368408203,0.14086633920669556
393178,1,38.66714678396335,-113.58406066894531,-11.911121368408203,0.10345231741666794
393179,0,38.66713794474051,-113.58409881591797,-11.911121368408203,0.06958795338869095
393180,1,38.667166846664294,-113.58414459228516,-11.911121368408203,0.03962770476937294
393181,0,38.667201654140406,-113.58417510986328,-11.911120414733887,0.013760661706328392
393182,1,38.667241510025534,-113.58419799804688,-11.911120414733887,-0.007967548444867134
393183,0,38.66727963174324,-113.58421325683594,-11.911120414733887,-0.02563341148197651
393184,1,38.66731835553988,-113.584228515625,-11.911120414733887,-0.039412058889865875
393185,0,38.66734645770367,-113.58423614501953,-11.911120414733887,-0.04955747351050377
393186,1,38.66736178770537,-113.58423614501953,-11.911120414733887,-0.05638238787651062
393187,0,38.66736342883697,-113.584228515625,-11.911120414733887,-0.06023988500237465
393188,1,38.667351408988075,-113.58421325683594,-11.911120414733887,-0.06150739639997482
393189,0,38.66733400085268,-113.58419799804688,-11.911120414733887,-0.060572147369384766
393190,1,38.66730467447105,-113.58417510986328,-11.911120414733887,-0.05781884863972664
393191,0,38.66727979601245,-113.58415985107422,-11.911120414733887,-0.05361993610858917
393192,1,38.667245482569136,-113.58413696289062,-11.911120414733887,-0.0483262799680233
393193,0,38.667217948312775,-113.58412170410156,-11.911120414733887,-0.0422622486948967
393194,1,38.667182912076235,-113.58409881591797,-11.911120414733887,-0.0357205756008625
393195,0,38.66714862402602,-113.58407592773438,-11.911120414733887,-0.028959330171346664
393196,1,38.66713070440121,-113.58406829833984,-11.911120414733887,-0.02220045030117035
393197,0,38.66710660800785,-113.58405303955078,-11.911120414733887,-0.015629900619387627
393198,1,38.667083999207634,-113.58403778076172,-11.911120414733887,-0.009397868998348713
393199,0,38.66707042019666,-113.58403015136719,-11.911120414733887,-0.0036209295503795147
393200,1,38.667058052010624,-113.58402252197266,-11.911121368408203,0.0016159247606992722
393201,0,38.66704690067781,-113.58401489257812,-11.911121368408203,0.006256503984332085
393202,1,38.6670442714735,-113.58401489257812,-11.911121368408203,0.01027009915560484
393203,0,38.66702719385673,-113.58399963378906,-11.911121368408203,0.013648280873894691
