ts,agent_id,cvip,cvip_x,cvip_y,cvip_z
99174,0,38.667694544041154,-113.5839614868164,-11.911121368408203,0.26785439252853394
99175,0,38.66756220512608,-113.5839614868164,-11.911121368408203,0.24489785730838776
99176,0,38.66741502301584,-113.5839614868164,-11.911121368408203,0.215823233127594
99177,0,38.66726531310547,-113.5839614868164,-11.911121368408203,0.18063203990459442
99178,0,38.66717219362441,-113.58399963378906,-11.911121368408203,0.14086633920669556
99179,0,38.66714678396335,-113.58406066894531,-11.911121368408203,0.10345231741666794
99180,0,38.66713794474051,-113.58409881591797,-11.911121368408203,0.06958795338869095
99181,0,38.667166846664294,-113.58414459228516,-11.911121368408203,0.03962770476937294
99182,0,38.667201654140406,-113.58417510986328,-11.911120414733887,0.013760661706328392
99183,0,38.667241510025534,-113.58419799804688,-11.911120414733887,-0.007967548444867134
99184,0,38.66727963174324,-113.58421325683594,-11.911120414733887,-0.02563341148197651
99185,0,38.66731835553988,-113.584228515625,-11.911120414733887,-0.039412058889865875
99186,0,38.66734645770367,-113.58423614501953,-11.911120414733887,-0.04955747351050377
99187,0,38.66736178770537,-113.58423614501953,-11.911120414733887,-0.05638238787651062
99188,0,38.66736342883697,-113.584228515625,-11.911120414733887,-0.06023988500237465
99189,0,38.667351408988075,-113.58421325683594,-11.911120414733887,-0.06150739639997482
99190,0,38.66733400085268,-113.58419799804688,-11.911120414733887,-0.060572147369384766
99191,0,38.66730467447105,-113.58417510986328,-11.911120414733887,-0.05781884863972664
99192,0,38.66727979601245,-113.58415985107422,-11.911120414733887,-0.05361993610858917
99193,0,38.667245482569136,-113.58413696289062,-11.911120414733887,-0.0483262799680233
99194,0,38.667217948312775,-113.58412170410156,-11.911120414733887,-0.0422622486948967
99195,0,38.667182912076235,-113.58409881591797,-11.911120414733887,-0.0357205756008625
99196,0,38.66714862402602,-113.58407592773438,-11.911120414733887,-0.028959330171346664
99197,0,38.66713070440121,-113.58406829833984,-11.911120414733887,-0.02220045030117035
99198,0,38.66710660800785,-113.58405303955078,-11.911120414733887,-0.015629900619387627
99199,0,38.667083999207634,-113.58403778076172,-11.911120414733887,-0.009397868998348713
99200,0,38.66707042019666,-113.58403015136719,-11.911120414733887,-0.0036209295503795147
99201,0,38.667058052010624,-113.58402252197266,-11.911121368408203,0.0016159247606992722
99202,0,38.66704690067781,-113.58401489257812,-11.911121368408203,0.006256503984332085
99203,0,38.6670442714735,-113.58401489257812,-11.911121368408203,0.01027009915560484
99204,0,38.66702719385673,-113.58399963378906,-11.911121368408203,0.013648280873894691
99205,0,38.66702587059832,-113.58399963378906,-11.911121368408203,0.016401614993810654
99206,0,38.667024971577504,-113.58399963378906,-11.911121368408203,0.018556155264377594
99207,0,38.66702438362792,-113.58399963378906,-11.911121368408203,0.020150089636445045
99208,0,38.667024022388134,-113.58399963378906,-11.911121368408203,0.02123079262673855
99209,0,38.66702382788963,-113.58399963378906,-11.911121368408203,0.02185220643877983
99210,0,38.66702376197416,-113.58399963378906,-11.911121368408203,0.02207200974225998
99211,0,38.667023798773734,-113.58399963378906,-11.911121368408203,0.021949710324406624
99212,0,38.66702392405758,-113.58399963378906,-11.911121368408203,0.021544285118579865
99213,0,38.6670393135237,-113.58401489257812,-11.911121368408203,0.020913179963827133
99214,0,38.66703958679109,-113.58401489257812,-11.911121368408203,0.020110568031668663
99215,0,38.66703992143614,-113.58401489257812,-11.911121368408203,0.019186343997716904
99216,0,38.66704030912588,-113.58401489257812,-11.911121368408203,0.01818605326116085
99217,0,38.66704833098996,-113.58402252197266,-11.911121368408203,0.01714944839477539
99218,0,38.66704878865889,-113.58402252197266,-11.911121368408203,0.016111010685563087
99219,0,38.667049260673586,-113.58402252197266,-11.911121368408203,0.015099658630788326
99220,0,38.66704973356247,-113.58402252197266,-11.911121368408203,0.01413892675191164
99221,0,38.66705019469043,-113.58402252197266,-11.911121368408203,0.013246974907815456
99222,0,38.66507058457526,-113.58402252197266,-11.911121368408203,0.012437152676284313
99223,0,38.655717801018824,-113.58402252197266,-11.911121368408203,0.011718425899744034
99224,0,38.63983359220916,-113.58402252197266,-11.911121368408203,0.011095790192484856
99225,0,38.61814739506697,-113.58403015136719,-11.911121368408203,0.010570621117949486
99226,0,38.59124919787253,-113.58403015136719,-11.911121368408203,0.010141467675566673
99227,0,38.55965574664497,-113.58403015136719,-11.911121368408203,0.00980470608919859
99228,0,38.52381526663263,-113.58403015136719,-11.911121368408203,0.009554386138916016
99229,0,38.48406670436023,-113.58403015136719,-11.911121368408203,0.009383334778249264
99230,0,38.440690204996116,-113.58403015136719,-11.911121368408203,0.009283428080379963
99231,0,38.39394271899482,-113.58403015136719,-11.911121368408203,0.009245738387107849
99232,0,38.34401170881527,-113.58402252197266,-11.911121368408203,0.009261226281523705
99233,0,38.291082191177416,-113.58402252197266,-11.911121368408203,0.009320735931396484
99234,0,38.235281784599685,-113.58402252197266,-11.911121368408203,0.009415492415428162
99235,0,38.1767450412823,-113.58402252197266,-11.911121368408203,0.009537181816995144
99236,0,38.115563228718244,-113.58402252197266,-11.911121368408203,0.009677981957793236
99237,0,38.05182723966481,-113.58402252197266,-11.911121368408203,0.009830913506448269
99238,0,37.985607643196424,-113.58402252197266,-11.911121368408203,0.00998983345925808
