ts,agent_id,throttle,steer,brake
99174,0,0.8999999761581421,0.027942219749093056,0.0
99175,0,0.8999999761581421,0.03119395673274994,0.0
99176,0,0.8999999761581421,0.03280457854270935,0.0
99177,0,0.8999999761581421,0.007794809993356466,0.0
99178,0,0.8999999761581421,0.01218473818153143,0.0
99179,0,0.8999999761581421,0.014099396765232086,0.0
99180,0,0.8999999761581421,0.014844938181340694,0.0
99181,0,0.8999999761581421,0.015621121972799301,0.0
99182,0,0.8999999761581421,0.016239257529377937,0.0
99183,0,0.8999999761581421,0.016297338530421257,0.0
99184,0,0.8999999761581421,0.01721593178808689,0.0
99185,0,0.8999999761581421,0.01610816828906536,0.0
99186,0,0.8999999761581421,0.017003586515784264,0.0
99187,0,0.8999999761581421,0.01720561645925045,0.0
99188,0,0.8999999761581421,0.01622769609093666,0.0
99189,0,0.8999999761581421,0.017511745914816856,0.0
99190,0,0.8999999761581421,0.017704090103507042,0.0
99191,0,0.8999999761581421,0.018586451187729836,0.0
99192,0,0.8999999761581421,0.019831130281090736,0.0
99193,0,0.8999999761581421,0.019205015152692795,0.0
99194,0,0.8999999761581421,0.019309882074594498,0.0
99195,0,0.8999999761581421,0.020033255219459534,0.0
99196,0,0.8999999761581421,0.019211342558264732,0.0
99197,0,0.8999999761581421,0.020742997527122498,0.0
99198,0,0.8999999761581421,0.02044939063489437,0.0
99199,0,0.8999999761581421,0.021322913467884064,0.0
99200,0,0.8999999761581421,0.02227162756025791,0.0
99201,0,0.8999999761581421,0.021875159814953804,0.0
99202,0,0.8999999761581421,0.022091619670391083,0.0
99203,0,0.8999999761581421,0.022500570863485336,0.0
99204,0,0.8999999761581421,0.02297062613070011,0.0
99205,0,0.8999999761581421,0.02387579157948494,0.0
99206,0,0.8999999761581421,0.02352963201701641,0.0
99207,0,0.8999999761581421,0.023916559293866158,0.0
99208,0,0.8999999761581421,0.024404477328062057,0.0
99209,0,0.8999999761581421,0.023724336177110672,0.0
99210,0,0.8999999761581421,0.02415361814200878,0.0
99211,0,0.8999999761581421,0.02409021370112896,0.0
99212,0,0.8999999761581421,0.02468162402510643,0.0
99213,0,0.8999999761581421,0.02591746859252453,0.0
