ts,agent_id,x,y,z,v
393173,0,-75.0994644165039,-15.66334056854248,0.03346652910113335,0.0
393174,1,-75.0994644165039,-15.66334056854248,0.03346652910113335,0.0
393175,0,-75.0994644165039,-15.663339614868164,0.03326354920864105,2.755481929685304e-07
393176,1,-75.0994644165039,-15.663339614868164,0.03315231204032898,4.710227709262795e-07
393177,0,-75.0994644165039,-15.663339614868164,0.03310367465019226,3.695795323786894e-07
393178,1,-75.0994644165039,-15.663339614868164,0.03309657797217369,3.2467334642740263e-07
393179,0,-75.0994644165039,-15.663339614868164,0.03311588242650032,3.420464396428324e-07
393180,1,-75.0994644165039,-15.663339614868164,0.033151090145111084,3.1609579410785347e-07
393181,0,-75.0994644165039,-15.663339614868164,0.03319476917386055,2.670569478464382e-07
393182,1,-75.0994644165039,-15.663339614868164,0.03324199467897415,3.130579232586369e-07
393183,0,-75.0994644165039,-15.663339614868164,0.033289335668087006,2.4033104116634737e-07
393184,1,-75.0994644165039,-15.663339614868164,0.0333348847925663,2.0486147506861382e-07
393185,0,-75.0994644165039,-15.663339614868164,0.03337718918919563,2.1387730311749966e-07
393186,1,-75.0994644165039,-15.663339614868164,0.033415716141462326,1.9497553994515076e-07
393187,0,-75.0994644165039,-15.663339614868164,0.033450279384851456,1.5543230737390084e-07
393188,1,-75.0994644165039,-15.663339614868164,0.033480796962976456,6.959282619848048e-08
393189,0,-75.0994644165039,-15.663339614868164,0.03350742161273956,1.398409390370034e-07
393190,1,-75.0994644165039,-15.663339614868164,0.03353054076433182,6.543943733884983e-08
393191,0,-75.0994644165039,-15.663339614868164,0.03353054076433182,0.0
393192,1,-75.0994644165039,-15.663339614868164,0.033547285944223404,9.549342762284276e-08
393193,0,-75.0994644165039,-15.663339614868164,0.033555906265974045,4.524598200704489e-08
393194,1,-75.0994644165039,-15.663339614868164,0.033565595746040344,8.777248167450357e-08
393195,0,-75.0994644165039,-15.663339614868164,0.03357559069991112,6.451881291264492e-08
393196,1,-75.0994644165039,-15.663339614868164,0.03358524292707443,8.332140996691986e-08
393197,0,-75.0994644165039,-15.663339614868164,0.033594321459531784,7.836496691663743e-08
393198,1,-75.0994644165039,-15.663339614868164,0.033602677285671234,2.4545525486237603e-08
393199,0,-75.0994644165039,-15.663339614868164,0.03361015394330025,4.3099028692341845e-08
393200,1,-75.0994644165039,-15.663339614868164,0.03361678868532181,4.8819429237908496e-08
393201,0,-75.0994644165039,-15.663339614868164,0.0336226262152195,1.0342180127118004e-07
393202,1,-75.0994644165039,-15.663339614868164,0.033627700060606,4.157114381264767e-08
393203,0,-75.0994644165039,-15.663339614868164,0.03363204747438431,3.417232503366864e-08
393204,1,-75.0994644165039,-15.663339614868164,0.03363582491874695,5.159022125315319e-08
393205,0,-75.0994644165039,-15.663339614868164,0.033639028668403625,1.131617545085993e-07
393206,1,-75.0994644165039,-15.663339614868164,0.03364173695445061,1.3564778173702563e-07
393207,0,-75.0994644165039,-15.663339614868164,0.03364402800798416,1.2469745959659846e-08
393208,1,-75.0994644165039,-15.663339614868164,0.03364402800798416,0.0
393209,0,-75.0994644165039,-15.663339614868164,0.033645667135715485,1.3953940694514986e-07
393210,1,-75.0994644165039,-15.663339614868164,0.033645667135715485,1.306010179001442e-08
393211,0,-75.0994644165039,-15.663339614868164,0.03364734724164009,1.8906350235715393e-07
393212,1,-75.0994644165039,-15.663339614868164,0.03364734724164009,1.829156515371084e-07
393213,0,-75.0994644165039,-15.663339614868164,0.033649101853370667,2.6974888783033165e-08
393214,1,-75.0994644165039,-15.663339614868164,0.033649101853370667,9.316840161411027e-08
393215,0,-75.0994644165039,-15.663339614868164,0.03365062549710274,5.06293975442703e-08
393216,1,-75.0994644165039,-15.663339614868164,0.03365062549710274,4.573922147095681e-08
393217,0,-75.0994644165039,-15.663339614868164,0.03365188464522362,1.6511577935151746e-07
393218,1,-75.0994644165039,-15.663339614868164,0.03365188464522362,1.3666714330759923e-07
393219,0,-75.0994644165039,-15.663339614868164,0.03365188464522362,1.273604735043418e-07
393220,1,-75.0994644165039,-15.663339614868164,0.03365325927734375,3.544591483638213e-08
393221,0,-75.10145568847656,-15.66335678100586,0.033610496670007706,0.15590947507820907
393222,1,-75.1108627319336,-15.66343879699707,0.03345344588160515,0.44040392278310775
393223,0,-75.12683868408203,-15.66357707977295,0.03325500339269638,0.6946418333830585
393224,1,-75.1486587524414,-15.663774490356445,0.03305358812212944,0.9220743178541454
393225,0,-75.17571258544922,-15.664018630981445,0.032870519906282425,1.1263956242736586
